date,road,fixed_corridor,observation_time,time_block,day,weather,temperature,rain_chance,traffic_level,traffic_score,traffic_pattern,congestion_location,day_encoded,traffic_pattern_encoded,traffic_level_encoded,congestion_location_encoded
2026-08-26,apapa-oshodi expressway,mile2-oshodi,2026-08-19 22:18:00,2026-08-19 22:00:00,Thursday,cloudy,26.5,0.13,low,1,G/R,road segment,3,4,0.0,1
2026-09-15,lagos-badagry expressway,mile2-festac,2026-08-19 21:53:00,2026-08-19 21:00:00,Saturday,mostly cloudy,25.9,0.17,low,1,G/R,road segment,5,4,0.0,1
2026-08-24,lagos-badagry expressway,mile2-festac,2026-08-19 09:50:00,2026-08-19 09:00:00,Tuesday,light rain,25.5,0.37,high,3,Y/R,road segment,1,5,2.0,1
2026-08-02,lagos-badagry expressway,mile2-festac,2026-08-19 09:39:00,2026-08-19 09:00:00,Thursday,partly sunny,28.3,0.15,high,3,Y/R,road segment,3,5,2.0,1
2026-09-08,ikorodu road,unknown,2026-08-19 09:01:00,2026-08-19 09:00:00,Wednesday,heavy rain,24.2,0.62,high,3,G/Y/R,road segment,2,6,2.0,1
2026-08-20,lagos-abeokuta expressway,abule egba-iyana ipaja,2026-08-19 12:41:00,2026-08-19 12:00:00,Thursday,light rain,23.1,0.38,medium,2,Y/R,road segment,3,5,1.0,1
2026-09-01,lagos-abeokuta expressway,abule egba-iyana ipaja,2026-08-19 08:49:00,2026-08-19 08:00:00,Monday,partly sunny,27.5,0.13,medium,2,Y,junction,0,1,1.0,2
2026-08-28,apapa-oshodi expressway,mile2-oshodi,2026-08-19 16:43:00,2026-08-19 16:00:00,Sunday,partly sunny,26.4,0.14,high,3,G/Y/R,road segment,6,6,2.0,1
2026-08-17,lagos-ibadan expressway,ojota-berger,2026-08-19 14:22:00,2026-08-19 14:00:00,Saturday,mostly cloudy,25.9,0.15,medium,2,Y/R,road segment,5,5,1.0,1
2026-09-06,ikorodu road,unknown,2026-08-19 08:43:00,2026-08-19 08:00:00,Tuesday,cloudy,26.4,0.19,high,3,R,mixed,1,2,2.0,3
2026-09-10,lagos-abeokuta expressway,abule egba-iyana ipaja,2026-08-19 08:30:00,2026-08-19 08:00:00,Thursday,mostly cloudy,26.0,0.14,high,3,G/Y/R,junction,3,6,2.0,2
2026-08-16,lagos-badagry expressway,mile2-festac,2026-08-19 20:10:00,2026-08-19 20:00:00,Wednesday,heavy rain,22.3,0.54,low,1,G,none evident,2,0,0.0,0
2026-08-23,lagos-abeokuta expressway,abule egba-iyana ipaja,2026-08-19 19:20:00,2026-08-19 19:00:00,Tuesday,partly sunny,28.9,0.14,medium,2,Y/R,junction,1,5,1.0,2
2026-08-23,lagos-abeokuta expressway,abule egba-iyana ipaja,2026-08-19 07:47:00,2026-08-19 07:00:00,Wednesday,partly sunny,27.8,0.09,high,3,R,road segment,2,2,2.0,1
2026-09-03,ikorodu road,unknown,2026-08-19 21:15:00,2026-08-19 21:00:00,Wednesday,heavy rain,22.8,0.73,low,1,G/Y,none evident,2,3,0.0,0
2026-08-03,funsho williams avenue,unknown,2026-08-19 22:52:00,2026-08-19 22:00:00,Wednesday,mostly cloudy,26.1,0.15,low,1,G/R,road segment,2,4,0.0,1
2026-09-04,lagos-abeokuta expressway,abule egba-iyana ipaja,2026-08-19 12:23:00,2026-08-19 12:00:00,Thursday,mostly cloudy,25.7,0.13,medium,2,Y,junction,3,1,1.0,2
2026-08-13,ikorodu road,unknown,2026-08-19 13:06:00,2026-08-19 13:00:00,Tuesday,mostly cloudy,25.3,0.14,medium,2,Y/R,mixed,1,5,1.0,3
2026-09-06,apapa-oshodi expressway,mile2-oshodi,2026-08-19 18:54:00,2026-08-19 18:00:00,Wednesday,mostly cloudy,25.6,0.1,high,3,Y/R,road segment,2,5,2.0,1
2026-09-04,lagos-abeokuta expressway,abule egba-iyana ipaja,2026-08-19 12:27:00,2026-08-19 12:00:00,Sunday,heavy rain,22.2,0.8,medium,2,Y/R,mixed,6,5,1.0,3
2026-08-08,funsho williams avenue,unknown,2026-08-19 13:38:00,2026-08-19 13:00:00,Saturday,cloudy,26.9,0.1,medium,2,Y,mixed,5,1,1.0,3
2026-08-04,ikorodu road,unknown,2026-08-19 21:31:00,2026-08-19 21:00:00,Thursday,light rain,23.6,0.39,low,1,G/Y,none evident,3,3,0.0,0
2026-09-03,lagos-badagry expressway,mile2-festac,2026-08-19 08:22:00,2026-08-19 08:00:00,Monday,cloudy,25.2,0.18,medium,2,Y/R,mixed,0,5,1.0,3
2026-09-14,lagos-badagry expressway,mile2-festac,2026-08-19 17:24:00,2026-08-19 17:00:00,Wednesday,partly sunny,26.4,0.09,high,3,R,mixed,2,2,2.0,3
2026-09-07,lagos-abeokuta expressway,abule egba-iyana ipaja,2026-08-19 08:44:00,2026-08-19 08:00:00,Wednesday,light rain,24.0,0.33,medium,2,Y,mixed,2,1,1.0,3
2026-09-14,lagos-abeokuta expressway,abule egba-iyana ipaja,2026-08-19 18:18:00,2026-08-19 18:00:00,Wednesday,mostly cloudy,25.3,0.19,high,3,G/Y/R,junction,2,6,2.0,2
2026-08-13,apapa-oshodi expressway,mile2-oshodi,2026-08-19 14:03:00,2026-08-19 14:00:00,Wednesday,cloudy,27.4,0.23,low,1,G/Y,none evident,2,3,0.0,0
